country,name_pt
Afghanistan,Afeganistão
Albania,Albânia
Algeria,Argélia
Andorra,Andorra
Angola,Angola
Anguilla,Anguila
Antigua and Barbuda,Antígua e Barbuda
Argentina,Argentina
Armenia,Armênia
Aruba,Aruba
Australia,Austrália
Austria,Áustria
Azerbaijan,Azerbaijão
Bahamas,Bahamas
Bahrain,Bahrein
Bangladesh,Bangladesh
Barbados,Barbados
Belarus,Bielorrússia
Belgium,Bélgica
Belize,Belize
Benin,Benin
Bermuda,Bermudas
Bhutan,Butão
Bolivia,Bolívia
Bonaire Sint Eustatius and Saba,Países Baixos Caribenhos
Bosnia and Herzegovina,Bósnia e Herzegovina
Botswana,Botsuana
Brazil,Brasil
British Virgin Islands,Ilhas Virgens Britânicas
Brunei,Brunei
Bulgaria,Bulgária
Burkina Faso,Burquina Faso
Burundi,Burundi
Cambodia,Camboja
Cameroon,Camarões
Canada,Canadá
Cape Verde,Cabo Verde
Cayman Islands,Ilhas Cayman
Central African Republic,República Centro-Africana
Chad,Chade
Chile,Chile
China,China
Colombia,Colômbia
Comoros,Comores
Congo,República do Congo
Cook Islands,Ilhas Cook
Costa Rica,Costa Rica
Cote d'Ivoire,Costa do Marfim
Croatia,Croácia
Cuba,Cuba
Curacao,Curaçao
Cyprus,Chipre
Czechia,Tchéquia
Democratic Republic of Congo,República Democrática do Congo 
Denmark,Dinamarca
Djibouti,Djibuti
Dominica,Dominica
Dominican Republic,República Dominicana
Ecuador,Equador
Egypt,Egito
El Salvador,El Salvador
Equatorial Guinea,Guiné Equatorial
Eritrea,Eritreia
Estonia,Estônia
Eswatini,Essuatíni
Ethiopia,Etiópia
Faeroe Islands,Ilhas Faroé
Falkland Islands,Ilhas Falkland
Fiji,Fiji
Finland,Finlândia
France,França
French Polynesia,Polinésia Francesa
Gabon,Gabão
Gambia,Gâmbia
Georgia,Geórgia
Germany,Alemanha
Ghana,Gana
Gibraltar,Gibraltar
Greece,Grécia
Greenland,Groenlândia
Grenada,Granada
Guatemala,Guatemala
Guernsey,Guernsey
Guinea,Guiné
Guinea-Bissau,Guiné-Bissau
Guyana,Guiana
Haiti,Haiti
Honduras,Honduras
Hong Kong,"Hong Kong, RAE da China"
Hungary,Hungria
Iceland,Islândia
India,Índia
Indonesia,Indonésia
Iran,Irã
Iraq,Iraque
Ireland,Irlanda
Isle of Man,Ilha de Man
Israel,Israel
Italy,Itália
Jamaica,Jamaica
Japan,Japão
Jersey,Jersey
Jordan,Jordânia
Kazakhstan,Cazaquistão
Kenya,Quênia
Kiribati,Quiribati
Kosovo,Kasovo
Kuwait,Kuwait
Kyrgyzstan,Quirguistão
Laos,Laosçao
Latvia,Letônia
Lebanon,Líbano
Lesotho,Lesoto
Liberia,Libéria
Libya,Líbia
Liechtenstein,Liechtenstein
Lithuania,Lituânia
Luxembourg,Luxemburgo
Macao,"Macau, RAE da China"
Madagascar,Madagascar
Malawi,Malaui
Malaysia,Malásia
Maldives,Maldivas
Mali,Mali
Malta,Malta
Marshall Islands,Ilhas Marshall
Mauritania,Mauritânia
Mauritius,Maurício
Mexico,México
Micronesia (country),Estados Federados da Micronésia
Moldova,Moldova
Monaco,Mônaco
Mongolia,Mongólia
Montenegro,Montenegro
Montserrat,Montserrat
Morocco,Marrocos
Mozambique,Moçambique
Myanmar,Mianmar (Birmânia)
Namibia,Namíbia
Nauru,Nauru
Nepal,Nepal
Netherlands,Países Baixos
New Caledonia,Nova Caledônia
New Zealand,Nova Zelândia
Nicaragua,Nicarágua
Niger,Níger
Nigeria,Nigéria
Niue,Niue
North Macedonia,Macedônia do Norte
Northern Cyprus,Norte do Chipre
Norway,Noruega
Oman,Omã
Pakistan,Paquistão
Palau,Palau
Palestine,Palestina
Panama,Panamá
Papua New Guinea,Papua-Nova Guiné
Paraguay,Paraguai
Peru,Peru
Philippines,Filipinas
Pitcairn,Ilhas Pitcairn
Poland,Polônia
Portugal,Portugal
Qatar,Catar
Romania,Romênia
Russia,Rússia
Rwanda,Ruanda
Saint Helena,Santa Helena
Saint Kitts and Nevis,São Cristóvão e Névis
Saint Lucia,Santa Lúcia
Saint Pierre and Miquelon,São Pedro e Miquelão
Saint Vincent and the Grenadines,São Vicente e Granadinas
Samoa,Samoa
San Marino,San Marino
Sao Tome and Principe,São Tomé e Príncipe
Saudi Arabia,Arábia Saudita
Senegal,Senegal
Serbia,Sérvia
Seychelles,Seicheles
Sierra Leone,Serra Leoa
Singapore,Singapura
Sint Maarten (Dutch part),Sint Maarten
Slovakia,Eslováquia
Slovenia,Eslovênia
Solomon Islands,Ilhas Salomão
Somalia,Somália
South Africa,África do Sul
South Korea,Coreia do Sul
South Sudan,Sudão do Sul
Spain,Espanha
Sri Lanka,Sri Lanka
Sudan,Sudão
Suriname,Suriname
Sweden,Suécia
Switzerland,Suíça
Syria,Síria
Taiwan,Taiwan
Tajikistan,Tadjiquistão
Tanzania,Tanzânia
Thailand,Tailândia
Timor,Síria
Togo,Togo
Tokelau,Tokelau
Tonga,Tonga
Trinidad and Tobago,Trinidad e Tobago
Tunisia,Tunísia
Turkey,Turquia
Turkmenistan,Turcomenistão
Turks and Caicos Islands,Ilhas Turcas e Caicos
Tuvalu,Tuvalu
Uganda,Uganda
Ukraine,Ucrânia
United Arab Emirates,Emirados Árabes Unidos
United Kingdom,Reino Unido
United States,Estados Unidos
Uruguay,Uruguai
Uzbekistan,Uzbequistão
Vanuatu,Vanuatu
Vatican,Vaticano
Venezuela,Venezuela
Vietnam,Vietnã
Wallis and Futuna,Wallis e Futuna
Yemen,Iêmen
Zambia,Zâmbia
Zimbabwe,Zimbábue
Puerto Rico,Porto Rico
Guam,Guam
United States Virgin Islands,Ilhas Virgens Americanas
Northern Mariana Islands,Ilhas Marianas do Norte
Western Sahara,Saara Ocidental
